1,2,3,4,5,6,7,8,9,10,11,12
ABCB1,3,3,3,3,3,3,3,3,3,1,3,3
ABCC1,5,3,3,3,5,3,3,5,3,5,3,3
ABCC6,5,1,1,4,4,4,4,4,5,1,1,1
AF049656,4,4,4,4,2,4,4,4,5,2,1,1
AJ001487,4,4,4,1,1,5,1,1,1,1,4,4
AKAP13,5,5,5,5,3,5,5,5,5,5,1,1
AKT1,5,5,5,5,5,5,5,5,5,5,5,5
ALPPL2,5,3,3,3,3,3,3,5,3,2,3,3
AMD1,2,3,3,3,5,3,3,2,3,5,3,3
ANXA2P3,1,1,1,4,4,2,2,2,4,4,4,2
ARAF,4,4,4,4,4,4,4,4,5,5,1,1
ARHGAP1,4,4,4,4,4,4,4,4,4,4,1,1
ARHGEF1,5,3,3,3,3,3,3,5,4,4,1,1
B2M,4,4,4,4,2,4,5,5,4,4,4,2
BAD,4,4,4,4,3,4,5,5,5,5,4,4
BAX,4,4,4,4,3,5,5,5,5,3,4,4
BCR,4,4,4,4,5,5,5,5,5,5,1,5
BIN1,5,3,3,1,3,1,1,1,1,3,1,3
BLM,1,1,1,5,5,5,5,5,5,5,5,5
BLMH,3,5,5,5,5,5,5,3,5,5,5,5
BRCA2,1,1,5,5,5,5,5,5,5,5,5,5
BTF3,2,2,2,2,2,2,2,2,2,2,2,2
CAD,5,1,3,3,5,5,5,5,5,5,3,3
CALM3,5,4,4,4,3,5,5,5,5,3,4,3
CAP1,5,1,3,1,3,1,1,1,5,3,1,3
CAP2,1,1,3,1,3,1,1,1,4,3,1,3
CASP10,5,4,4,4,3,5,5,5,5,1,1,3
CCNA2,3,3,3,3,3,3,3,3,3,1,1,3
CCND1,3,5,5,5,5,3,3,3,3,5,5,5
CCND3,5,1,5,5,5,5,5,5,5,5,5,5
CCNF,3,1,2,2,3,5,5,3,5,2,2,2
CCNG1,5,4,4,4,3,5,5,5,5,3,4,3
CCNI,2,4,4,4,2,3,3,2,3,2,4,3
CCR7,5,4,4,4,3,5,5,5,5,5,4,5
CD19,1,4,4,4,3,5,5,5,5,1,1,3
CD24,1,4,4,4,3,5,5,5,5,3,4,3
CD34,5,4,4,4,1,1,1,1,1,1,4,3
CD44,5,4,4,4,3,5,5,5,5,3,4,3
CD7,5,4,4,4,3,5,5,5,4,1,1,3
PSMB1,3,3,3,3,5,5,5,3,5,5,3,3
PSMB4,1,3,3,3,5,5,5,3,5,5,3,3
PSMB6,3,3,3,3,5,5,5,3,5,5,3,3
PSMB7,3,4,4,4,5,5,5,3,5,5,4,3
PSMC1,3,5,5,5,5,5,5,3,5,5,5,5
